Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Egypt, Arab Rep.",EGY,29.0723832208548,29.5358649789029,30.6243414120126,31.1590367822175,30.6108535587674,31.354181016669,30.7627238122092,25.9181384917297,25.9378951805536,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Turkey,TUR,40.164515671536,41.3669580169079,42.7657760090961,42.469794886204,43.9061845595421,45.0534202858332,46.1972995315514,46.8453608247423,47.4916851441242,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Israel,ISR,82.0216606498195,83.4941667866916,83.5201149425287,84.9108170310702,84.8654869802906,85.6833597921778,85.5512209218321,86.9755244755245,87.6986462625074,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Bahrain,BHR,49.6364685516445,49.7409326424871,49.908024833295,50.1033769813921,50.3448275862069,50.5566395041891,50.8938803575521,51.4315162620247,51.8777192580719,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Iran, Islamic Rep.",IRN,21.6130884041332,20.8177368269508,20.0809014735626,19.387607023654,21.2142959667002,23.5277503177517,25.0314817405905,24.6624913013222,24.3097736057427,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Iraq,IRQ,16.4801768200028,16.3724137931034,17.3349699945445,18.3780866279854,19.0895542609403,19.8637602179836,15.2638700947226,15.3545956129727,15.5265284136817,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Saudi Arabia,SAU,25.9896729776248,26.4542039124239,25.9179265658747,26.303826240687,27.9356298717626,29.3299620733249,28.6876907426246,28.122998078155,28.1796147467789,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,"Yemen, Rep.",YEM,12.9183106824492,11.4323451717053,10.1385204833481,8.98194732169281,8.77806940799067,8.67995378393992,8.59475719810915,8.56939501779359,8.55039637599094,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Syrian Arab Republic,SYR,18.2589652340542,18.4825700615174,18.7576791808874,19.0599455040872,19.304442331205,19.5602008958871,19.6645929131728,19.7357778376921,19.7876058610028,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Jordan,JOR,22.9919830585388,22.8351309707242,21.6969317470257,21.7738151102769,21.9233776387803,22.0712277413308,22.2899094033115,22.5539231009691,22.8396994364433,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,United Arab Emirates,ARE,48.0207451312447,49.369101897996,50.7532357309569,52.1352124615874,53.4495509772847,54.7195913589443,56.2058634710036,56.0852796228841,55.7161207450225,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Lebanon,LBN,32.3344748858447,32.2214336408801,32.0039598359497,31.7695125387433,31.5892832094263,31.7213344547239,31.8621269440942,31.9921765856384,32.030492030492,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Oman,OMN,33.0647101274958,33.2661529342027,33.5629231846836,33.9156418802437,34.3187223921169,34.8524256474047,38.2865719893777,43.1804502227037,43.0211697165411,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Kuwait,KWT,55.0316678395496,55.4868804664723,56.1927934190708,56.8087557603687,57.3116183048515,57.1739628695851,57.2814425930153,57.0385580652521,56.8070295560881,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Qatar,QAT,55.615141955836,57.4756459127488,59.1834570519618,60.6678643136426,61.9117647058823,61.3362887903737,60.7838983050847,60.2583103959348,59.772055719713,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Morocco,MAR,33.809902038655,33.0797971710702,33.1001076426265,32.4118207816969,31.7510694080309,31.1014816885658,30.4693038423366,30.6412626190815,30.7812945537496,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Algeria,DZA,21.9326036866359,23.4465737514518,24.0484675694939,22.7549354312008,23.7855450236967,24.8263632333383,25.9226454089164,25.4904853223189,25.103305785124,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Libya,LBY,53.3112582781457,53.1391889776108,52.9484985218609,52.717138875987,52.491899398241,52.3758265415962,52.2859772936484,52.191235059761,52.1066339819212,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Gender Statistics,,,,,,,,,,,,,
Last Updated: 09/27/2021,,,,,,,,,,,,,
